timestamp,round_id,service_name,hostname,url,tags,probe_type,success,latency_ms,latency_p95_ms,jitter_ms,packet_loss_pct,status_code,error_kind,error_message,details
2025-12-18T13:36:07.995957+00:00,2025-12-18T13:35:53.420445+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",ping,False,,,,100.0,,ping_unknown_error,ping exited with code 1,min=None;max=None;samples=
2025-12-18T13:36:08.051216+00:00,2025-12-18T13:35:53.420445+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",dns,True,55.1556200007326,,,,,ok,,ip=54.155.178.5
2025-12-18T13:36:09.814400+00:00,2025-12-18T13:35:53.420445+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",http,True,1761.066208999182,,,,200,ok,,
2025-12-18T13:36:10.093178+00:00,2025-12-18T13:35:53.420445+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",ping,True,92.86504766684327,95.99795200028893,5.425732999810862,0.0,,ok,,min=86.11498800019035;max=96.4822030000505;samples=96.00;96.48;86.11
2025-12-18T13:36:10.112912+00:00,2025-12-18T13:35:53.420445+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",dns,True,19.624695999482356,,,,,ok,,ip=151.101.3.42
2025-12-18T13:36:11.024497+00:00,2025-12-18T13:35:53.420445+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",http,True,355.8072910000192,,,,200,ok,,
2025-12-18T13:36:11.335571+00:00,2025-12-18T13:35:53.420445+00:00,github,github.com,https://github.com/,dev,ping,True,103.63994533327059,101.09488299985969,6.658314500327833,0.0,,ok,,min=99.2010689997187;max=110.62388400023337;samples=110.62;99.20;101.09
2025-12-18T13:36:11.375093+00:00,2025-12-18T13:35:53.420445+00:00,github,github.com,https://github.com/,dev,dns,True,39.44216099989717,,,,,ok,,ip=140.82.121.4
2025-12-18T13:36:11.830641+00:00,2025-12-18T13:35:53.420445+00:00,github,github.com,https://github.com/,dev,http,True,454.1597869992984,,,,200,ok,,
2025-12-18T13:36:12.025052+00:00,2025-12-18T13:35:53.420445+00:00,stack_overflow,stackoverflow.com,https://stackoverflow.com/,dev,ping,True,64.7502180002751,64.30492100025731,3.65175150000141,0.0,,ok,,min=61.32111500028259;max=68.62461800028541;samples=68.62;64.30;61.32
2025-12-18T13:36:12.062659+00:00,2025-12-18T13:35:53.420445+00:00,stack_overflow,stackoverflow.com,https://stackoverflow.com/,dev,dns,True,37.486369000362174,,,,,ok,,ip=198.252.206.1
