timestamp,mode,round_id,service_name,hostname,url,tags,probe_type,success,latency_ms,latency_p95_ms,jitter_ms,packet_loss_pct,status_code,error_kind,error_message,details,hour,throughput_mbps,score,tier
2025-12-19 17:50:43.393635+03:00,baseline,2025-12-19T14:50:39.004417+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",ping,1,53.97738466641992,50.49831099950097,5.4964174996712245,0.0,,ok,,samples=61.21;50.50;50.22,17,,79.7818658929002,ok
2025-12-19 17:50:43.401523+03:00,baseline,2025-12-19T14:50:39.004417+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",dns,1,7.793181000124605,,,,,ok,,ip=142.250.187.110,17,,85.5675879488119,good
2025-12-19 17:50:46.236800+03:00,baseline,2025-12-19T14:50:39.004417+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",http,1,449.54283200058853,,,,200.0,ok,,status_class=2xx;bytes=688581;redirects=0,17,,22.347044592526853,bad
2025-12-19 17:50:46.273099+03:00,baseline,2025-12-19T14:50:39.004417+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",dns,1,36.196495000694995,,,,,ok,,ip=54.155.178.5,17,,48.48431220722276,bad
2025-12-19 17:50:47.506839+03:00,baseline,2025-12-19T14:50:39.004417+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",http,1,1232.019652999952,,,,200.0,ok,,status_class=2xx;bytes=3070290;redirects=1,17,,1.6461479936845376,bad
2025-12-19 17:50:47.747263+03:00,baseline,2025-12-19T14:50:39.004417+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",ping,1,80.09636833321565,90.0603569998566,16.13738000014564,0.0,,ok,,samples=91.25;90.06;58.98,17,,65.23743545235074,ok
2025-12-19 17:50:47.755131+03:00,baseline,2025-12-19T14:50:39.004417+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",dns,1,7.750508000754053,,,,,ok,,ip=146.75.3.42,17,,85.64064763366966,good
2025-12-19 17:50:48.051104+03:00,baseline,2025-12-19T14:50:39.004417+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",http,1,294.4010410001283,,,,200.0,ok,,status_class=2xx;bytes=160727;redirects=0,17,,37.48097169224405,bad
2025-12-19 17:50:48.317918+03:00,baseline,2025-12-19T14:50:39.004417+00:00,github,github.com,https://github.com/,dev,ping,1,88.89666700027495,79.66107599986572,19.93229350000547,0.0,,ok,,samples=113.45;79.66;73.58,17,,61.337358209346796,ok
2025-12-19 17:50:48.324143+03:00,baseline,2025-12-19T14:50:39.004417+00:00,github,github.com,https://github.com/,dev,dns,1,6.127609000031953,,,,,ok,,ip=140.82.121.4,17,,88.46597421931949,good
2025-12-19 17:50:48.719706+03:00,baseline,2025-12-19T14:50:39.004417+00:00,github,github.com,https://github.com/,dev,http,1,394.0994220001812,,,,200.0,ok,,status_class=2xx;bytes=562392;redirects=0,17,,26.883304570450445,bad
2025-12-19 17:50:48.925869+03:00,baseline,2025-12-19T14:50:39.004417+00:00,stack_overflow,stackoverflow.com,https://stackoverflow.com/,dev,ping,1,68.67085200034732,48.171027000535105,34.3255544994463,0.0,,ok,,samples=112.05;45.79;48.17,17,,59.40829498318632,ok
2025-12-19 17:50:48.932132+03:00,baseline,2025-12-19T14:50:39.004417+00:00,stack_overflow,stackoverflow.com,https://stackoverflow.com/,dev,dns,1,6.0881150002387585,,,,,ok,,ip=198.252.206.1,17,,88.53587932735863,good
2025-12-19 17:50:49.866835+03:00,baseline,2025-12-19T14:50:39.004417+00:00,stack_overflow,stackoverflow.com,https://stackoverflow.com/,dev,http,1,933.297171999584,,,,200.0,ok,,status_class=2xx;bytes=420333;redirects=1,17,,4.455679669813259,bad
2025-12-19 17:50:50.037567+03:00,baseline,2025-12-19T14:50:39.004417+00:00,x_com,x.com,https://x.com/,"social,flaky_candidate",ping,1,56.871691333071794,55.63400299979549,4.4002115000694175,0.0,,ok,,samples=61.89;55.63;53.09,17,,80.46263657730887,good
2025-12-19 17:50:50.043495+03:00,baseline,2025-12-19T14:50:39.004417+00:00,x_com,x.com,https://x.com/,"social,flaky_candidate",dns,1,5.825659999572963,,,,,ok,,ip=162.159.140.229,17,,89.00183486645379,good
2025-12-19 17:50:50.536023+03:00,baseline,2025-12-19T14:50:39.004417+00:00,x_com,x.com,https://x.com/,"social,flaky_candidate",http,1,491.1075010004424,,,,200.0,ok,,status_class=2xx;bytes=228716;redirects=0,17,,19.455799154210194,bad
2025-12-19 17:50:50.681150+03:00,baseline,2025-12-19T14:50:39.004417+00:00,discord,discord.com,https://discord.com/,"social,region_sensitive,firewall_test",ping,1,48.20668699994712,37.785241000165115,15.834999000162496,0.0,,ok,,samples=69.25;37.79;37.58,17,,71.8113828942397,ok
2025-12-19 17:50:50.686847+03:00,baseline,2025-12-19T14:50:39.004417+00:00,discord,discord.com,https://discord.com/,"social,region_sensitive,firewall_test",dns,1,5.612406999716768,,,,,ok,,ip=162.159.128.233,17,,89.38224368857868,good
2025-12-19 17:50:50.786867+03:00,baseline,2025-12-19T14:50:39.004417+00:00,discord,discord.com,https://discord.com/,"social,region_sensitive,firewall_test",http,0,99.93116399982682,,,,,http_connection_reset,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",,17,,0.0,bad
2025-12-19 17:50:50.912556+03:00,baseline,2025-12-19T14:50:39.004417+00:00,instagram,www.instagram.com,https://www.instagram.com/,social,ping,1,41.85112833298869,33.036114999958954,13.406238999777996,0.0,,ok,,samples=59.66;33.04;32.85,17,,74.96180022080891,ok
2025-12-19 17:50:50.918793+03:00,baseline,2025-12-19T14:50:39.004417+00:00,instagram,www.instagram.com,https://www.instagram.com/,social,dns,1,6.153160000394564,,,,,ok,,ip=57.144.126.34,17,,88.4207778856313,good
2025-12-19 17:50:51.434312+03:00,baseline,2025-12-19T14:50:39.004417+00:00,instagram,www.instagram.com,https://www.instagram.com/,social,http,1,513.9893529994879,,,,200.0,ok,,status_class=2xx;bytes=772296;redirects=0,17,,18.02703080161766,bad
2025-12-19 17:50:51.621997+03:00,baseline,2025-12-19T14:50:39.004417+00:00,tiktok,www.tiktok.com,https://www.tiktok.com/,"social,region_sensitive",ping,1,62.52008166666201,46.464428000035696,28.676002500105824,0.0,,ok,,samples=99.22;46.46;41.87,17,,62.38685680292569,ok
2025-12-19 17:50:51.629616+03:00,baseline,2025-12-19T14:50:39.004417+00:00,tiktok,www.tiktok.com,https://www.tiktok.com/,"social,region_sensitive",dns,1,7.54763599979924,,,,,ok,,ip=2.19.196.88,17,,85.98883532229169,good
2025-12-19 17:50:51.978711+03:00,baseline,2025-12-19T14:50:39.004417+00:00,tiktok,www.tiktok.com,https://www.tiktok.com/,"social,region_sensitive",http,1,347.76080200026627,,,,200.0,ok,,status_class=2xx;bytes=1155;redirects=0,17,,31.373623144672045,bad
2025-12-19 17:51:24.404363+03:00,baseline,2025-12-19T14:51:24.390308+00:00,gateway,127.0.1.1,http://127.0.1.1/,"gateway,wifi_path,baseline",ping,1,2.7188435997231863,2.6886509995165397,0.2792372499698103,0.0,,ok,,samples=3.26;2.49;2.63;2.69;2.53,17,,98.84143170345902,good
2025-12-19 17:51:24.405857+03:00,baseline,2025-12-19T14:51:24.390308+00:00,gateway,127.0.1.1,http://127.0.1.1/,"gateway,wifi_path,baseline",http,0,1.4014100006534136,,,,,http_connection_error,"HTTPConnectionPool(host='127.0.1.1', port=80): Max retries exceeded with url: / (Caused by NewConnectionError(""HTTPConnection(host='127.0.1.1', port=80): Failed to establish a new connection: [Errno 111] Connection refused""))",,17,,0.0,bad
2025-12-19 17:51:24.747721+03:00,baseline,2025-12-19T14:51:24.390308+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",ping,1,68.32248340015212,65.09825800003455,32.420035500308586,0.0,,ok,,samples=127.58;44.76;65.10;47.59;56.60,17,,60.01531318407403,ok
2025-12-19 17:51:24.754221+03:00,baseline,2025-12-19T14:51:24.390308+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",dns,1,6.396867000148632,,,,,ok,,ip=172.217.169.132,17,,87.99085124820749,good
2025-12-19 17:51:24.968699+03:00,baseline,2025-12-19T14:51:24.390308+00:00,google,www.google.com,https://www.google.com/generate_204,"baseline,public_web",http,1,213.1936109999515,,,,204.0,ok,,status_class=2xx;bytes=0;redirects=0,17,,49.132700740881035,bad
2025-12-19 17:51:25.148783+03:00,baseline,2025-12-19T14:51:24.390308+00:00,cloudflare,1.1.1.1,https://1.1.1.1/,"baseline,public_dns",ping,1,35.99036340001476,41.16559000067355,4.936507750016972,0.0,,ok,,samples=30.23;33.13;41.17;41.80;33.62,17,,84.38038827236906,good
2025-12-19 17:51:25.489481+03:00,baseline,2025-12-19T14:51:24.390308+00:00,cloudflare,1.1.1.1,https://1.1.1.1/,"baseline,public_dns",http,1,338.1283919998168,,,,200.0,ok,,status_class=2xx;bytes=56614;redirects=1,17,,32.39731490263724,bad
